surface_m2,n_chambres,n_sdb,annee_construction,quartier,prix_vente
114.90142459033697,1,1,1971,D,224113.48
95.85207096486447,1,4,2003,D,192102.28
119.43065614302077,1,1,1955,D,222503.53
145.69089569224076,4,3,1999,E,301411.15
92.97539875829992,4,2,1970,A,301053.92
92.97589129152459,4,3,1993,B,285055.3
147.37638446522175,6,1,2019,C,322245.38
123.02304187458726,3,3,1956,A,364959.09
85.91576842195144,4,2,1984,B,235147.98
116.27680130757894,4,2,2013,D,250264.98
86.09746921562613,1,1,1979,D,182050.25
86.0281073928923,2,1,2007,C,219299.17
107.25886814698103,1,2,2007,A,284797.65
42.601592660266064,2,1,1970,D,125413.52
48.252465024609016,1,1,1990,E,91104.38
83.13137412277082,8,1,1960,B,283160.47
69.61506638996728,2,2,2019,C,208854.05
109.42741997785822,2,3,1996,E,231589.39
72.75927773436368,6,1,1974,C,224741.53
57.63088895994125,2,1,1981,B,197768.93
143.96946306764661,2,1,1976,A,362811.05
93.22671098540393,1,2,1995,E,227198.17
102.02584614063771,1,2,1961,D,197423.41
57.257554413596296,1,1,1962,C,150213.6
83.66851826424451,4,5,2018,A,297201.81
103.32767769129599,2,2,1961,B,266346.8
65.47019267733091,5,2,1998,D,179121.85
111.27094055037016,3,4,1984,C,280007.06
81.98083930243585,3,1,1967,A,267687.36
91.2491875062017,5,4,2016,B,328111.17
81.9488016331181,3,1,1992,A,263362.91
155.56834553526812,3,4,1997,B,413800.73
99.59508325786199,5,2,1975,D,224264.54
68.26867213132299,4,1,2014,E,197151.65
124.67634736309567,1,3,2000,C,269603.21
63.374690500869335,4,1,1958,E,122863.41
106.26590785014267,3,1,1981,D,180098.93
41.20989628360673,1,1,2018,E,111563.43
60.154418533047085,3,1,2006,C,148521.29
105.90583707607371,2,2,2011,D,219919.53
122.1539973998623,3,2,1980,C,282867.56
105.14104843569912,1,1,2019,E,193021.98
96.53055152835279,1,2,2002,A,253404.83
90.96688913232134,2,1,2005,A,305531.37
55.644340288977176,4,4,1993,C,210918.03
78.40467374815874,2,3,2011,A,267829.31
86.18083687120638,2,2,2009,C,232981.25
131.71366678656747,4,2,1988,E,228239.74
110.30854868705384,2,1,1956,B,284370.93
47.10879533911798,3,2,2001,D,165016.54
109.72251908184384,4,1,1994,E,212840.05
88.4475315875105,5,1,1954,B,274274.92
79.69233999082124,3,1,1981,E,185618.39
118.35028866522603,2,2,1990,B,305112.54
130.92998567487854,5,2,1963,C,338983.72
127.93840357348596,4,2,1957,D,279929.42
74.82347430332084,1,5,1990,C,199100.81
90.72362872446357,5,1,1959,D,210296.05
109.93790294210692,2,3,1957,B,282509.67
129.26635381367078,3,1,2001,A,323675.0
85.6247728646413,2,1,2001,A,228459.99
94.43023070008549,8,1,1986,A,335883.19
66.80995077981916,4,2,1985,A,217624.79
64.11380127757988,3,1,1970,E,143922.41
124.37577467182594,4,4,1993,E,265946.31
140.68720085712468,5,1,1996,A,402282.79
97.83969635258998,3,2,2015,C,241566.02
130.10598693676073,1,4,1968,B,289711.57
110.84908075142903,2,2,1973,A,301476.44
80.64640736184627,3,1,2000,C,197709.03
110.84186816525242,2,2,1950,C,253175.18
146.1410969939791,4,1,1967,C,335873.5
98.92521882670145,5,1,2000,E,216016.41
146.9393096744202,1,3,1988,D,277717.34
30.0,2,1,2008,E,119579.39
124.65707513125672,3,1,1960,A,348981.52
102.61141204714514,4,3,1977,A,309415.04
91.02977948602398,2,1,1960,A,267018.23
102.75282329606507,1,2,2002,B,251071.66
40.372932561973215,2,1,1983,B,143453.77
93.40984336487465,1,2,2006,D,151976.41
110.7133771453524,4,3,1950,E,265733.79
144.33682134224549,1,2,1964,C,348521.32
84.45189345179058,2,1,1973,E,160519.97
75.74519191320437,1,4,1989,A,256852.52
84.9472886924639,4,1,2006,D,194343.15
127.46206353106223,1,1,2015,B,300796.77
109.86253328979053,2,4,2019,D,241192.86
84.10719388698884,4,1,2015,C,253265.01
115.39802299340069,3,1,2020,D,240848.83
102.91232648044121,8,1,2016,D,222137.89
129.05934971598668,1,1,1973,D,188755.68
78.93840718367943,1,3,2000,A,237621.69
90.17013560206695,1,1,2005,C,157052.25
88.23675540603527,2,3,2021,B,251886.48
56.09455155603644,1,1,1993,E,132213.18
108.88360831193728,1,4,2010,B,260660.67
107.83165816539668,5,2,1975,D,261741.41
100.15340369927382,5,1,2014,D,237805.11
92.96238599874559,7,1,1950,E,231157.72
57.53887773848757,2,1,1952,C,185268.32
87.38064031703922,4,2,2017,D,220319.43
89.71856450419692,6,2,1979,A,292583.24
75.93168192335143,3,1,1982,A,235947.7
95.16142865001973,7,1,1970,B,283668.15
112.12152570443615,3,3,1964,A,279157.67
156.5855770363159,4,3,2012,B,403503.13
105.23733438495518,2,2,2009,D,243871.54
107.72651172168293,3,3,1996,A,328309.25
97.76662252701499,2,1,2014,A,255026.07
42.43686354102876,2,3,2000,E,119156.2
99.20458373652349,5,3,1982,B,308347.79
101.8069062982308,2,1,1958,E,185710.05
173.89726337455858,3,4,1980,C,393881.99
94.22917105656633,4,1,1978,E,242426.75
109.04642027000837,1,3,1959,A,291059.83
98.9586469088427,1,1,1958,A,292056.71
64.93965887141404,3,2,1994,C,214125.95
134.28468443545063,3,2,1952,B,320262.58
122.55799098060322,3,3,1976,B,304063.34
123.73095841129141,3,2,1981,B,319498.19
72.71837635615783,1,2,1957,C,183255.49
142.08382932808297,3,3,1967,D,289447.73
57.944468116231576,3,1,1975,D,190254.97
117.60571281400811,1,2,2009,C,238656.5
165.71366877429935,2,2,1953,E,268308.31
70.28391024607936,1,1,1982,C,178266.34
83.01106811191684,3,3,1980,D,200957.28
102.98954095262924,2,1,1982,D,212179.1
84.89573037651402,1,1,2019,E,166680.38
53.48009706801602,3,1,1964,A,182508.86
102.05688924418082,3,2,1988,A,285391.58
68.13088858821686,4,4,1980,A,265044.69
114.20777291905544,1,5,1981,B,290595.42
72.4172729729859,1,1,2013,D,155375.79
146.49803215052617,7,1,1987,C,350924.68
76.50240122991289,1,1,1991,E,152872.75
90.33815451382974,5,3,2002,D,213411.87
124.40551652109009,1,4,1961,A,331173.08
63.07407050698134,7,2,1984,E,221604.98
106.82379803812388,3,1,2001,C,293759.68
139.21428262847286,1,3,2011,D,291413.7
51.77550296316318,4,1,1972,C,144268.66
105.53901575596913,5,1,1950,D,217308.54
107.7964838274527,2,3,2008,D,201482.32
123.45468615331932,1,1,1996,A,329203.14
62.891478673657545,2,4,1969,E,190925.27
60.38630160747171,6,1,1966,A,256628.03
115.65824696850693,1,3,1974,D,275660.84
108.90954019699558,4,3,2017,A,325870.55
107.5147855103763,4,1,2014,D,236561.92
110.39344628490927,2,4,1971,A,326531.79
79.59925835264528,1,2,1964,D,149066.11
106.9676109148301,1,4,2018,B,254401.99
108.79217419896044,2,4,1964,B,287987.47
78.56945745920896,4,1,2012,C,180686.55
155.9732353343427,4,3,1996,D,299057.4
114.21498762735362,3,1,1983,A,336104.41
64.26089508392054,5,3,1965,D,192721.49
